roll,pitch,yaw,GyroX,GyroY,GyroZ,x_acc,y_acc,z_acc,latitude,longitude,altitude,north_vel,east_vel,ground_vel,ins_status,modestatus,system_ms
-0.534976,-1.094303,1.261891,0.073242,0.292969,0.027466,7.369910,-4.993329,3.896445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802535
-0.534976,-1.094303,1.261891,0.000000,-0.448608,0.274658,7.481032,-4.918052,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802545
-0.534976,-1.094303,1.261891,-0.219727,0.027466,-0.283813,7.509708,-5.039928,3.839092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802555
-0.534976,-1.094303,1.261891,0.183105,0.311279,0.045776,7.344817,-5.007667,3.928707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802565
-0.534976,-1.094303,1.261891,-0.109863,-0.622559,0.137329,7.473863,-4.921637,3.774569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802575
-0.534976,-1.094303,1.261891,-0.448608,-0.210571,-0.338745,7.527631,-5.018421,3.824754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802585
-0.534976,-1.094303,1.261891,0.054932,0.100708,-0.073242,7.369910,-5.007667,3.914368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802595
-0.534976,-1.094303,1.261891,0.018311,-0.283813,0.228882,7.452355,-4.910883,3.735139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802605
-0.534976,-1.094495,1.261891,-0.302124,-0.073242,-0.320435,7.531216,-5.004083,3.849846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802615
-0.534976,-1.094303,1.261891,0.119019,0.155640,0.073242,7.330479,-4.989744,3.900030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802625
-0.534976,-1.094303,1.261891,-0.073242,-0.256348,0.219727,7.477447,-4.925222,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802635
-0.534976,-1.094495,1.261891,-0.256348,-0.183105,-0.347900,7.552723,-5.011252,3.824754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802645
-0.534976,-1.094303,1.261891,0.091553,0.256348,-0.100708,7.341233,-5.000498,3.874938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802655
-0.534784,-1.094303,1.261891,0.000000,-0.448608,0.137329,7.470278,-4.925222,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802665
-0.534784,-1.094495,1.261891,-0.292969,-0.100708,-0.119019,7.538385,-5.000498,3.803246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802675
-0.534784,-1.094495,1.261891,0.192261,0.402832,0.045776,7.373494,-5.004083,3.860600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802685
-0.534784,-1.094495,1.261891,0.027466,-0.393677,0.219727,7.455940,-4.928806,3.749477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802695
-0.534784,-1.094495,1.261891,-0.311279,-0.219727,-0.292969,7.531216,-5.004083,3.821169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802705
-0.534784,-1.094495,1.261891,0.119019,0.247192,-0.119019,7.366325,-4.989744,3.896445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802715
-0.534784,-1.094303,1.261891,0.009155,-0.393677,0.164795,7.434432,-4.932391,3.763816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802725
-0.534784,-1.094495,1.261891,-0.357056,-0.173950,-0.146484,7.541970,-4.996913,3.842677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802735
-0.534784,-1.094495,1.261891,0.146484,0.375366,-0.036621,7.387832,-5.007667,3.860600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802745
-0.534784,-1.094495,1.261891,-0.009155,-0.393677,0.201416,7.459524,-4.910883,3.710047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802755
-0.534784,-1.094495,1.261891,-0.329590,-0.219727,-0.274658,7.527631,-4.996913,3.831923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802765
-0.534784,-1.094495,1.261891,0.192261,0.393677,0.054932,7.366325,-5.007667,3.882107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802775
-0.534784,-1.094303,1.261891,0.137329,-0.238037,0.228882,7.470278,-4.932391,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802785
-0.534784,-1.094495,1.261891,-0.238037,-0.183105,-0.247192,7.549139,-4.996913,3.810415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802795
-0.534784,-1.094303,1.261891,0.146484,0.292969,-0.119019,7.380663,-5.011252,3.900030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802805
-0.534784,-1.094303,1.261891,0.054932,-0.347900,0.283813,7.495370,-4.900130,3.710047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802815
-0.534784,-1.094303,1.261891,-0.302124,-0.247192,-0.247192,7.567062,-5.004083,3.792492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802825
-0.534784,-1.094303,1.261891,0.265503,0.375366,-0.009155,7.395002,-5.014836,3.871353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802835
-0.534784,-1.094303,1.262083,0.173950,-0.128174,0.210571,7.491786,-4.932391,3.742308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802845
-0.534784,-1.094303,1.261891,-0.265503,-0.109863,-0.265503,7.599323,-5.004083,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802855
-0.534784,-1.094303,1.261891,0.265503,0.402832,-0.128174,7.409340,-5.014836,3.874938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802865
-0.534784,-1.094303,1.261891,0.128174,-0.256348,0.283813,7.481032,-4.932391,3.774569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802875
-0.534784,-1.094303,1.261891,-0.210571,-0.173950,-0.256348,7.574231,-4.989744,3.810415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802885
-0.534784,-1.094303,1.261891,0.173950,0.485229,-0.018311,7.438017,-5.029175,3.864184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802895
-0.534784,-1.094303,1.262083,0.164795,-0.128174,0.228882,7.477447,-4.921637,3.738724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802905
-0.534784,-1.094303,1.261891,-0.210571,-0.173950,-0.183105,7.577816,-5.014836,3.763816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802915
-0.534784,-1.094303,1.261891,0.238037,0.329590,-0.082397,7.434432,-5.014836,3.892861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802925
-0.534784,-1.094112,1.262083,-0.064087,-0.155640,0.228882,7.491786,-4.935975,3.735139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802935
-0.534784,-1.094303,1.261891,-0.329590,-0.183105,-0.256348,7.567062,-4.993329,3.799662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802945
-0.534592,-1.094303,1.261891,0.128174,0.302124,-0.137329,7.423678,-5.018421,3.860600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802985
-0.534784,-1.094303,1.261891,0.164795,-0.109863,0.265503,7.520462,-4.946729,3.753062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988802995
-0.534784,-1.094303,1.261891,-0.384521,-0.219727,-0.192261,7.584985,-5.004083,3.767400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803005
-0.534784,-1.094303,1.261891,0.109863,0.540161,-0.137329,7.395002,-5.014836,3.917953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803015
-0.534784,-1.094303,1.261891,0.137329,-0.146484,0.274658,7.466693,-4.914468,3.796077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803025
-0.534784,-1.094303,1.261891,-0.320435,-0.256348,-0.201416,7.599323,-4.982575,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803035
-0.534784,-1.094303,1.261891,0.091553,0.219727,-0.119019,7.412925,-5.007667,3.874938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803045
-0.534784,-1.094303,1.261891,0.036621,-0.192261,0.219727,7.498955,-4.943145,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803055
-0.534784,-1.094303,1.261891,-0.192261,-0.109863,-0.210571,7.592154,-4.993329,3.763816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803065
-0.534784,-1.094303,1.261891,0.247192,0.595093,-0.054932,7.452355,-5.018421,3.892861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803075
-0.534784,-1.094112,1.261891,0.082397,-0.100708,0.228882,7.495370,-4.925222,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803085
-0.534784,-1.094303,1.261891,-0.256348,-0.238037,-0.137329,7.581400,-5.004083,3.767400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803095
-0.534784,-1.094303,1.261891,0.192261,0.466919,-0.119019,7.423678,-5.043513,3.878522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803105
-0.534784,-1.094112,1.261891,0.155640,-0.128174,0.274658,7.473863,-4.925222,3.738724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803115
-0.534784,-1.094303,1.261891,-0.265503,-0.228882,-0.119019,7.595739,-4.993329,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803125
-0.534784,-1.094303,1.261891,0.173950,0.393677,0.000000,7.466693,-5.025590,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803135
-0.534784,-1.094303,1.261891,0.137329,-0.137329,0.192261,7.506124,-4.946729,3.738724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803145
-0.534784,-1.094303,1.261891,-0.292969,-0.128174,-0.192261,7.559893,-4.989744,3.767400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803155
-0.534784,-1.094303,1.261891,0.064087,0.384521,-0.119019,7.459524,-5.047098,3.900030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803165
-0.534784,-1.094303,1.261891,0.210571,-0.045776,0.311279,7.516878,-4.925222,3.749477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803175
-0.534784,-1.094303,1.261891,-0.238037,-0.082397,-0.128174,7.584985,-5.004083,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803185
-0.534784,-1.094303,1.261891,0.228882,0.466919,0.009155,7.455940,-5.032759,3.871353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803195
-0.534784,-1.094112,1.261891,0.311279,0.000000,0.228882,7.509708,-4.939560,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803205
-0.534784,-1.094303,1.261891,-0.292969,-0.347900,-0.210571,7.577816,-4.975406,3.785323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803215
-0.534784,-1.094303,1.261891,0.091553,0.302124,0.009155,7.445186,-5.022005,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803225
-0.534784,-1.094303,1.261891,0.100708,-0.064087,0.366211,7.506124,-4.918052,3.760231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803235
-0.534784,-1.094303,1.261891,-0.210571,-0.228882,-0.173950,7.595739,-5.007667,3.742308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803245
-0.534784,-1.094303,1.261891,0.192261,0.494385,0.000000,7.430848,-5.036344,3.860600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803255
-0.534784,-1.094303,1.261891,0.357056,-0.036621,0.292969,7.502539,-4.939560,3.770985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803265
-0.534784,-1.094303,1.261891,-0.265503,-0.210571,-0.137329,7.592154,-4.982575,3.785323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803275
-0.534784,-1.094303,1.261891,0.137329,0.256348,-0.137329,7.473863,-5.057851,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803285
-0.534784,-1.094303,1.261891,0.082397,-0.045776,0.347900,7.495370,-4.939560,3.738724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803295
-0.534784,-1.094495,1.261699,-0.302124,-0.027466,-0.201416,7.584985,-4.993329,3.781739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803305
-0.534784,-1.094495,1.261699,0.247192,0.375366,-0.137329,7.477447,-5.036344,3.900030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803315
-0.534784,-1.094495,1.261699,0.247192,-0.064087,0.274658,7.506124,-4.939560,3.717216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803325
-0.534784,-1.094687,1.261699,-0.137329,-0.274658,-0.183105,7.617246,-4.996913,3.745893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803335
-0.534784,-1.094687,1.261699,0.173950,0.494385,-0.009155,7.506124,-5.054267,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803345
-0.534784,-1.094495,1.261699,0.375366,0.045776,0.366211,7.527631,-4.935975,3.738724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803355
-0.534784,-1.094687,1.261699,-0.119019,-0.256348,-0.164795,7.581400,-4.978990,3.774569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803365
-0.534784,-1.094687,1.261699,0.155640,0.549316,-0.064087,7.448770,-5.043513,3.914368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803375
-0.534784,-1.094495,1.261699,0.201416,-0.073242,0.302124,7.520462,-4.925222,3.749477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803385
-0.534784,-1.094687,1.261699,-0.430298,-0.228882,-0.192261,7.577816,-4.971821,3.760231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803395
-0.534784,-1.094687,1.261699,0.164795,0.402832,-0.100708,7.466693,-5.057851,3.896445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803405
-0.534784,-1.094495,1.261699,0.265503,0.128174,0.302124,7.531216,-4.943145,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803415
-0.534784,-1.094687,1.261699,-0.265503,0.000000,-0.036621,7.577816,-4.993329,3.745893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803425
-0.534784,-1.094687,1.261699,0.119019,0.320435,-0.064087,7.481032,-5.043513,3.882107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803435
-0.534784,-1.094687,1.261699,0.283813,0.027466,0.338745,7.506124,-4.932391,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803445
-0.534784,-1.094687,1.261699,-0.210571,-0.292969,-0.201416,7.613661,-5.000498,3.753062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803455
-0.534784,-1.094687,1.261699,0.164795,0.512695,-0.045776,7.434432,-5.043513,3.882107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803465
-0.534784,-1.094687,1.261699,0.366211,0.100708,0.329590,7.506124,-4.932391,3.796077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803475
-0.534784,-1.094687,1.261699,-0.119019,-0.155640,-0.137329,7.613661,-4.961068,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803485
-0.534784,-1.094687,1.261699,0.045776,0.549316,-0.173950,7.506124,-5.050682,3.857015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803495
-0.534784,-1.094687,1.261699,0.384521,-0.082397,0.311279,7.509708,-4.932391,3.735139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803505
-0.534784,-1.094687,1.261699,-0.228882,-0.210571,-0.045776,7.592154,-4.982575,3.760231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803515
-0.534784,-1.094687,1.261699,0.265503,0.503540,-0.173950,7.495370,-5.082943,3.900030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803525
-0.534784,-1.094687,1.261699,0.338745,0.210571,0.247192,7.563477,-4.939560,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803535
-0.534784,-1.094687,1.261699,-0.146484,-0.119019,0.000000,7.606492,-4.993329,3.788908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803545
-0.534784,-1.094687,1.261699,0.137329,0.476074,-0.119019,7.484616,-5.068605,3.910784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803555
-0.534784,-1.094687,1.261699,0.164795,-0.027466,0.421143,7.488201,-4.914468,3.749477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803565
-0.534976,-1.094687,1.261699,-0.302124,-0.329590,-0.192261,7.588569,-4.993329,3.763816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803575
-0.534976,-1.094687,1.261699,0.000000,0.393677,-0.054932,7.502539,-5.054267,3.882107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803585
-0.534976,-1.094687,1.261699,0.430298,0.338745,0.366211,7.541970,-4.935975,3.792492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803595
-0.534976,-1.094687,1.261699,0.045776,-0.109863,-0.137329,7.628000,-4.986160,3.760231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803605
-0.534976,-1.094687,1.261699,0.210571,0.421143,-0.183105,7.452355,-5.050682,3.932291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803615
-0.534976,-1.094687,1.261699,0.283813,-0.091553,0.274658,7.484616,-4.935975,3.817584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803625
-0.534976,-1.094687,1.261699,-0.347900,-0.384521,-0.183105,7.606492,-4.968237,3.781739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803635
-0.534976,-1.094687,1.261699,0.192261,0.494385,-0.119019,7.481032,-5.072190,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803645
-0.534976,-1.094495,1.261699,0.320435,0.228882,0.283813,7.477447,-4.935975,3.796077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988803655
