GyroX_degps,GyroY_degps,GyroZ_degps,AccX_g,AccY_g,AccZ_g,T_deg[0],SysTime_ms
-0.012834,-0.295354,0.297968,-0.520543,0.759495,-0.405347,32.354736,23975.075000
0.547516,0.178840,0.032502,-0.519366,0.761830,-0.398565,32.354736,23975.080000
0.262812,0.223465,-0.143502,-0.513738,0.749608,-0.407151,32.354736,23975.085000
-0.004982,0.279837,-0.307430,-0.508120,0.768378,-0.388497,32.354736,23975.090000
-0.422323,0.029900,-0.179254,-0.504058,0.764956,-0.389908,32.379150,23975.095000
-0.356210,-0.341756,0.173303,-0.514155,0.777817,-0.387973,32.379150,23975.100000
0.052483,-0.206971,0.308119,-0.521036,0.761169,-0.403808,32.379150,23975.105000
0.513572,0.129280,0.008395,-0.517884,0.759710,-0.401948,32.373047,23975.110000
0.311624,0.276417,-0.145373,-0.514315,0.750954,-0.403789,32.348633,23975.115000
-0.032743,0.329371,-0.363643,-0.508803,0.764266,-0.387866,32.348633,23975.120000
0.209370,0.321459,-0.095083,-0.513132,0.749985,-0.407059,32.336426,23975.145000
-0.037678,0.308697,-0.381280,-0.507773,0.766412,-0.387235,32.312012,23975.150000
-0.374959,-0.098684,-0.163463,-0.507018,0.764456,-0.391125,32.305908,23975.155000
-0.248632,-0.145778,0.122964,-0.513858,0.777052,-0.388587,32.305908,23975.160000
-0.083410,-0.229177,0.234915,-0.520299,0.761832,-0.399123,32.305908,23975.165000
0.528481,0.335896,0.064140,-0.519373,0.763640,-0.400516,32.360840,23975.170000
0.252311,0.199597,-0.061829,-0.513172,0.749898,-0.406934,32.360840,23975.175000
0.153987,0.200057,-0.300838,-0.508334,0.768445,-0.382725,32.360840,23975.180000
